"CellName","PageInstance","AdjustmentValue","Comment","RowKey"
"CVAR010C010","1","4125",,
"CVAR010C020","1","1080",,
"CVAR010C030","1","2700",,
"CVAR020C010","1","1200",,
"CVAR020C020","1","300",,
"CVAR020C030","1","750",,
"CVAR020C040","1","1200",,
"CVAR020C050","1","1350",,
"CVAR020C060","1","1500",,
"CVAR020C070","1","1650",,
"CVAR030C010","1","1275",,
"CVAR030C020","1","330",,
"CVAR030C030","1","900",,
"CVAR040C010","1","1650",,
"CVAR040C020","1","450",,
"CVAR040C030","1","1050",,
"CVAR010C080","1","6750",,
"CVAR010C090","1","84375",,
"CVAR010C100","1","270",,
"CVAR010C110","1","15",,
"CVAR010C120","1","180",,
"CVAR010C130","1","405",,
"CVAR010C140","1","495",,
"CVAR020C080","1","3000",,
"CVAR020C090","1","37500",,
"CVAR020C100","1","75",,
"CVAR020C110","1","15",,
"CVAR020C130","1","195",,
"CVAR020C140","1","240",,
"CVAR030C080","1","1800",,
"CVAR030C090","1","22500",,
"CVAR030C100","1","90",,
"CVAR030C130","1","210",,
"CVAR030C140","1","255",,
"CVAR040C080","1","1950",,
"CVAR040C090","1","24375",,
"CVAR040C100","1","105",,
